127.0.0.1 - - [09/Sep/2023:16:06:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:06:17 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3656
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:06:17 +0900] "GET /jsp0906/images/image1.png HTTP/1.1" 200 427658
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:06:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:14:03 +0900] "GET /jsp0906/sawonList.do HTTP/1.1" 500 1659
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:23:15 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:02 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:02 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:02 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:02 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:02 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:04 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:04 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:04 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:05 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:05 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:05 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:06 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:06 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:06 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:06 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:06 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3746
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:11 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:24:11 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:45 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:47 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:55 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:55 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:56 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:56 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:26:56 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3751
0:0:0:0:0:0:0:1 - - [09/Sep/2023:16:27:24 +0900] "GET /jsp0906/main.jsp HTTP/1.1" 200 3738
